Time,sonic_temperature,PSPWatt_UP_Avg,co2_flux
,[K],W/m2,[繕mol+1s-1m-2]
2022/9/3 18:53,304.019,0.000233333,10.043
2022/9/3 19:23,304.047,0,2.30146
2022/9/3 19:53,303.811,0,1.06209
2022/9/3 20:23,303.145,0.001166667,75.5453
2022/9/3 20:53,302.899,0.000466667,60.9894
2022/9/3 21:23,303.819,0.0007,23.064
2022/9/3 21:53,302.971,0,-101
2022/9/3 22:23,302.633,0.000966667,65.6381
2022/9/3 22:53,298.836,0,-5.83924
2022/9/3 23:23,301.113,0,7.54471
2022/9/3 23:53,301.665,0,25.2679
2022/9/4 00:23,302.467,0,123.728
2022/9/4 00:53,301.058,0.000233333,-9.49596
2022/9/4 01:23,301.705,0,10.8334
2022/9/4 01:53,301.203,0.000233333,-7.03454
2022/9/4 02:23,301.886,0.000233333,46.7749
2022/9/4 02:53,300.141,0,24.6041
2022/9/4 03:23,300.093,0.000466667,119.747
2022/9/4 03:53,299.614,0.0044,29.3913
2022/9/4 04:23,301.802,0.002833333,8.28746
2022/9/4 04:53,301.111,0,20.5185
2022/9/4 05:23,300.692,0,-55.3726
2022/9/4 05:53,302.074,0.669566667,23.6313
2022/9/4 06:23,302.076,4.060166667,21.2795
2022/9/4 06:53,299.79,5.922533333,9.72673
2022/9/4 07:23,299.739,7.3774,-12.8856
2022/9/4 07:53,300.264,36.47533333,12.7863
2022/9/4 08:23,300.762,40.38713333,-30.0313
2022/9/4 08:53,298.652,39.64666667,9.0698
2022/9/4 09:23,298.446,52.287,47.3362
2022/9/4 09:53,301.729,88.28866667,1.9869
2022/9/4 10:23,304.657,224.52,49.0947
2022/9/4 10:53,304.411,359.3433333,-12.475
2022/9/4 11:23,303.02,547.3733333,-11.2215
2022/9/4 11:53,302.15,293.33,-5.33935
2022/9/4 12:23,302.654,384.8633333,-9.82595
2022/9/4 12:53,302.326,296.3666667,-1.58692
2022/9/4 13:23,301.49,167.1233333,-3.95252
2022/9/4 13:53,300.842,98.901,7.29713
2022/9/4 14:23,300.837,77.24733333,-0.514505
2022/9/4 14:53,300.395,51.62166667,6.67812
2022/9/4 15:23,300.225,24.273,0.927666
